,Epsilon,Q,Training return,network loss
288,0.02,0.0,-19.0,0.0
289,0.02,0.0,-21.0,0.0
290,0.02,0.0,-21.0,0.0
291,0.02,0.0,-21.0,0.0
292,0.02,0.0,-21.0,0.0
293,0.02,0.0,-21.0,0.0
294,0.02,0.0,-21.0,0.0
295,0.02,0.0,-21.0,0.0
296,0.02,0.0,-21.0,0.0
297,0.02,0.0,-21.0,0.0
298,0.02,0.0,-20.0,0.0
299,0.02,0.0,-20.0,0.0
300,0.02,0.0,-21.0,0.0
301,0.02,0.0,-21.0,0.0
302,0.02,0.0,-20.0,0.0
303,0.02,0.0,-21.0,0.0
304,0.02,0.0,-21.0,0.0
305,0.02,0.0,-21.0,0.0
306,0.02,0.0,-21.0,0.0
307,0.02,0.0,-21.0,0.0
308,0.02,0.0,-21.0,0.0
309,0.02,0.0,-21.0,0.0
310,0.02,0.0,-21.0,0.0
311,0.02,0.0,-21.0,0.0
312,0.02,0.0,-21.0,0.0
313,0.02,0.0,-20.0,0.0
314,0.02,0.0,-21.0,0.0
315,0.02,0.0,-21.0,0.0
316,0.02,0.0,-21.0,0.0
317,0.02,0.0,-21.0,0.0
318,0.02,0.0,-21.0,0.0
319,0.02,0.0,-21.0,0.0
320,0.02,0.0,-19.0,0.0
321,0.02,0.0,-21.0,0.0
322,0.02,0.0,-21.0,0.0
323,0.02,0.0,-21.0,0.0
324,0.02,0.0,-20.0,0.0
325,0.02,0.0,-20.0,0.0
326,0.02,0.0,-21.0,0.0
327,0.02,0.0,-21.0,0.0
328,0.02,0.0,-21.0,0.0
329,0.02,0.0,-21.0,0.0
330,0.02,0.0,-18.0,0.0
331,0.02,0.0,-20.0,0.0
332,0.02,0.0,-21.0,0.0
333,0.02,0.0,-21.0,0.0
334,0.02,0.0,-20.0,0.0
335,0.02,0.0,-21.0,0.0
336,0.02,0.0,-21.0,0.0
337,0.02,0.0,-20.0,0.0
338,0.02,0.0,-20.0,0.0
339,0.02,0.0,-21.0,0.0
340,0.02,0.0,-21.0,0.0
341,0.02,0.0,-21.0,0.0
342,0.02,0.0,-21.0,0.0
343,0.02,0.0,-20.0,0.0
344,0.02,0.0,-20.0,0.0
